driver,race,race_1,race_2,race_3,race_4,last_year_tot,last_year_avg,last_year_std,same_race_last_year,score,year
 Esteban Ocon,CAN,3.0,10.0,6.0,1.0,3.0,0.13043478260869565,0.6255432421712238,0.0,8,2017
 Esteban Ocon,AZE,8.0,3.0,10.0,6.0,3.0,0.13043478260869565,0.6255432421712238,0.0,11,2017
 Esteban Ocon,AUT,11.0,8.0,3.0,10.0,3.0,0.13043478260869565,0.6255432421712238,0.0,4,2017
 Esteban Ocon,GBR,4.0,11.0,8.0,3.0,3.0,0.13043478260869565,0.6255432421712238,0.0,7,2017
 Esteban Ocon,HUN,7.0,4.0,11.0,8.0,3.0,0.13043478260869565,0.6255432421712238,0.0,2,2017
 Esteban Ocon,BEL,2.0,7.0,4.0,11.0,3.0,0.13043478260869565,0.6255432421712238,0.0,5,2017
 Esteban Ocon,ITA,5.0,2.0,7.0,4.0,3.0,0.13043478260869565,0.6255432421712238,0.0,11,2017
 Esteban Ocon,SIN,11.0,5.0,2.0,7.0,3.0,0.13043478260869565,0.6255432421712238,0.0,1,2017
 Esteban Ocon,MAL,1.0,11.0,5.0,2.0,3.0,0.13043478260869565,0.6255432421712238,,1,2017
 Esteban Ocon,JPN,1.0,1.0,11.0,5.0,3.0,0.13043478260869565,0.6255432421712238,0.0,11,2017
 Esteban Ocon,USA,11.0,1.0,1.0,11.0,3.0,0.13043478260869565,0.6255432421712238,0.0,11,2017
 Esteban Ocon,MEX,11.0,11.0,1.0,1.0,3.0,0.13043478260869565,0.6255432421712238,,13,2017
 Esteban Ocon,BRA,13.0,11.0,11.0,1.0,3.0,0.13043478260869565,0.6255432421712238,,0,2017
 Esteban Ocon,ABU,0.0,13.0,11.0,11.0,3.0,0.13043478260869565,0.6255432421712238,0.0,4,2017
 Carlos Sainz Jr.,AUS,,,,,7.0,0.30434782608695654,1.4596008983995226,0.0,7,2017
 Carlos Sainz Jr.,CHN,7.0,,,,7.0,0.30434782608695654,1.4596008983995226,,9,2017
 Carlos Sainz Jr.,BHR,9.0,7.0,,,7.0,0.30434782608695654,1.4596008983995226,7.0,0,2017
 Carlos Sainz Jr.,RUS,0.0,9.0,7.0,,7.0,0.30434782608695654,1.4596008983995226,0.0,1,2017
 Carlos Sainz Jr.,ESP,1.0,0.0,9.0,7.0,7.0,0.30434782608695654,1.4596008983995226,0.0,6,2017
 Carlos Sainz Jr.,MON,6.0,1.0,0.0,9.0,7.0,0.30434782608695654,1.4596008983995226,0.0,11,2017
 Carlos Sainz Jr.,CAN,11.0,6.0,1.0,0.0,7.0,0.30434782608695654,1.4596008983995226,0.0,0,2017
 Carlos Sainz Jr.,AZE,0.0,11.0,6.0,1.0,7.0,0.30434782608695654,1.4596008983995226,0.0,7,2017
 Carlos Sainz Jr.,AUT,7.0,0.0,11.0,6.0,7.0,0.30434782608695654,1.4596008983995226,0.0,0,2017
 Carlos Sainz Jr.,GBR,0.0,7.0,0.0,11.0,7.0,0.30434782608695654,1.4596008983995226,0.0,0,2017
 Carlos Sainz Jr.,HUN,0.0,0.0,7.0,0.0,7.0,0.30434782608695654,1.4596008983995226,0.0,9,2017
 Carlos Sainz Jr.,BEL,9.0,0.0,0.0,7.0,7.0,0.30434782608695654,1.4596008983995226,0.0,1,2017
 Carlos Sainz Jr.,ITA,1.0,9.0,0.0,0.0,7.0,0.30434782608695654,1.4596008983995226,0.0,0,2017
